CMDLINE /usr/local/opt/python@2/bin/python2.7 test_lib2.py
MEM 88.359375 1543730806.1872
MEM 88.359375 1543730806.2885
MEM 88.359375 1543730806.3925
MEM 88.359375 1543730806.4943
MEM 88.359375 1543730806.5952
MEM 88.359375 1543730806.7004
MEM 88.359375 1543730806.8031
MEM 88.359375 1543730806.9044
MEM 88.359375 1543730807.0093
MEM 88.359375 1543730807.1104
MEM 88.359375 1543730807.2109
MEM 88.359375 1543730807.3112
MEM 88.359375 1543730807.4155
MEM 88.359375 1543730807.5207
MEM 88.359375 1543730807.6219
MEM 88.359375 1543730807.7264
MEM 88.359375 1543730807.8305
MEM 88.359375 1543730807.9322
MEM 88.359375 1543730808.0360
MEM 88.359375 1543730808.1364
MEM 88.359375 1543730808.2384
MEM 88.359375 1543730808.3424
MEM 88.359375 1543730808.4428
MEM 88.359375 1543730808.5450
MEM 88.363281 1543730808.6452
MEM 88.363281 1543730808.7504
MEM 88.363281 1543730808.8519
MEM 88.363281 1543730808.9544
MEM 88.363281 1543730809.0562
MEM 88.363281 1543730809.1601
MEM 88.363281 1543730809.2604
MEM 88.363281 1543730809.3611
MEM 88.363281 1543730809.4656
MEM 88.363281 1543730809.5708
MEM 88.363281 1543730809.6718
MEM 88.363281 1543730809.7751
MEM 88.363281 1543730809.8764
MEM 88.363281 1543730809.9775
MEM 88.363281 1543730810.0825
MEM 88.363281 1543730810.1876
MEM 88.363281 1543730810.2897
MEM 88.363281 1543730810.3936
MEM 88.363281 1543730810.4958
MEM 88.363281 1543730810.5972
MEM 88.363281 1543730810.6993
MEM 88.363281 1543730810.7995
MEM 88.363281 1543730810.9043
MEM 88.363281 1543730811.0047
MEM 88.363281 1543730811.1061
MEM 88.363281 1543730811.2099
MEM 88.363281 1543730811.3138
MEM 88.363281 1543730811.4140
MEM 88.363281 1543730811.5173
MEM 88.363281 1543730811.6218
MEM 88.363281 1543730811.7257
MEM 88.363281 1543730811.8295
MEM 88.363281 1543730811.9345
MEM 88.363281 1543730812.0383
