CMDLINE /usr/local/opt/python@2/bin/python2.7 test_lib_implementation.py
MEM 44.425781 1543728552.9798
MEM 44.425781 1543728553.0814
MEM 44.425781 1543728553.1819
MEM 44.425781 1543728553.2848
MEM 44.425781 1543728553.3892
MEM 44.429688 1543728553.4920
MEM 44.429688 1543728553.5965
MEM 44.429688 1543728553.7028
MEM 44.429688 1543728553.8041
MEM 44.429688 1543728553.9044
MEM 44.429688 1543728554.0074
MEM 44.429688 1543728554.1078
MEM 44.429688 1543728554.2080
MEM 44.429688 1543728554.3094
MEM 44.437500 1543728554.4145
MEM 44.437500 1543728554.5185
MEM 44.437500 1543728554.6226
MEM 44.437500 1543728554.7231
MEM 44.437500 1543728554.8234
MEM 44.437500 1543728554.9244
MEM 44.437500 1543728555.0254
MEM 44.441406 1543728555.1273
MEM 44.441406 1543728555.2289
MEM 44.441406 1543728555.3317
MEM 44.441406 1543728555.4350
MEM 44.441406 1543728555.5393
MEM 44.445312 1543728555.6444
MEM 44.445312 1543728555.7489
MEM 44.445312 1543728555.8520
MEM 44.449219 1543728555.9572
MEM 44.449219 1543728556.0583
MEM 44.453125 1543728556.1586
MEM 44.453125 1543728556.2588
MEM 44.453125 1543728556.3591
MEM 44.453125 1543728556.4643
MEM 44.453125 1543728556.5676
MEM 44.453125 1543728556.6711
MEM 44.453125 1543728556.7714
MEM 44.453125 1543728556.8742
MEM 44.453125 1543728556.9793
MEM 44.453125 1543728557.0798
MEM 44.453125 1543728557.1843
MEM 44.453125 1543728557.2894
MEM 44.453125 1543728557.3918
MEM 44.453125 1543728557.4963
MEM 44.453125 1543728557.6011
MEM 44.453125 1543728557.7048
MEM 44.453125 1543728557.8100
MEM 44.453125 1543728557.9125
MEM 44.453125 1543728558.0176
MEM 44.453125 1543728558.1184
MEM 44.453125 1543728558.2189
MEM 44.453125 1543728558.3192
MEM 44.453125 1543728558.4204
MEM 44.453125 1543728558.5256
MEM 44.453125 1543728558.6308
MEM 44.453125 1543728558.7317
MEM 44.453125 1543728558.8352
MEM 44.453125 1543728558.9355
